TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,My Old Man's a Dustman,Unknown Artist,00:07:57,00:11:24,207
2,Nancy Whiskey,Unknown Artist,00:14:03,00:16:46,163
3,Lily the Pink,Unknown Artist,00:19:40,00:23:59,259
4,Blame It on the Weatherman,Unknown Artist,00:27:25,00:30:55,210
5,The Unicorn,Unknown Artist,00:33:20,00:36:44,204
6,The Orange and the Green,Unknown Artist,00:38:59,00:41:31,152
7,The Black Velvet Band,Unknown Artist,00:43:03,00:46:22,199
8,Muirsheen Durkin,Unknown Artist,00:48:15,00:50:13,118
9,Years May Come Years May Go,Unknown Artist,00:52:05,00:55:53,228
10,Zombie,Unknown Artist,01:01:45,01:06:00,255
11,Goodnight Irene,Unknown Artist,01:08:39,01:11:00,141
12,Drunken Sailor,Unknown Artist,01:12:00,01:14:40,160
