TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Femininomenon,Chappell Roan,00:14:59,00:18:39,220
2,Everytime We Touch,Cascada,00:36:48,00:40:09,201
3,Romance no Kamisama,Kohmi Hirose,00:43:00,00:47:29,269
4,I LOVE YOU,Chris Hart,00:48:48,00:53:59,311
5,It's Oh So Quiet,Björk,00:58:02,01:01:38,216
6,Sandy,John Travolta,01:06:06,01:08:38,152
7,Saigo no Ame,Yasushi Nakanishi,01:11:27,01:16:09,282
8,Xue Mao Jiao,Xiao Pan Pan & Xiao Feng Feng,01:18:08,01:21:34,206
9,Low,Flo Rida,01:24:22,01:28:14,232
10,Fansa,HoneyWorks,01:30:57,01:35:11,254
11,"""""You See"""" sung by Boxxy",danielson742,01:37:03,01:39:41,158
12,Unchained Melody,The Righteous Brothers,01:41:42,01:45:22,220
13,Mellow,Spacekats,01:49:17,01:52:18,181
14,Grease,Frankie Valli,01:54:30,01:57:42,192
