TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Too Sweet,Hozier,00:09:17,00:13:25,248
2,Like a Prayer,Madonna,00:19:41,00:25:22,341
3,Believe Do You Know the Muffin Man?,Cher (Adam Lambert),00:27:14,00:31:24,250
4,Casual,Chappell Roan,00:34:34,00:38:22,228
5,Light the Fire Up in the Night,Persona Q,00:41:10,00:43:47,157
6,Art Is Dead,Bo Burnham,00:45:53,00:48:16,143
7,It Wasn't Me,Shaggy feat Rikrok,00:49:36,00:53:23,227
8,Babooshka,Kate Bush,00:55:23,00:58:48,205
9,WAP,Cardi B feat Megan Thee Stallion,01:03:29,01:06:25,176
10,Butter-Fly,Digimon Adventure,01:09:37,01:13:52,255
11,Listen to Your Heart,Roxette,01:16:22,01:20:21,239
12,The Sweet Escape,Gwen Stefani,01:23:40,01:27:34,234
13,Suddenly Seymour,Little Shop of Horrors,01:29:39,01:33:04,205
14,Sweet Transvestite,The Rocky Horror Picture Show,01:35:49,01:39:10,201
15,Jack's Lament,The Nightmare Before Christmas,01:43:55,01:47:08,193
16,Eyesore,Maria Mena,01:49:13,01:52:20,187
17,Feeling Good,"Nina Simone, Michael Bublé, et al.",01:53:53,01:57:50,237
18,I Have Nothing,Whitney Houston,01:59:28,02:04:17,289
