TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Red Wine Supernova,Chappell Roan,00:06:13,00:09:29,196
2,Futari Wa Koibito,Chisato Moritaka,00:12:46,00:16:54,248
3,Pink Pony Club,Chappell Roan,00:19:45,00:24:09,264
4,Until I Found You,Stephen Sanchez,00:28:38,00:31:31,173
5,She,Elvis Costello,00:35:58,00:39:17,199
6,This Never Happened Before,Paul McCartney,00:41:14,00:44:36,202
7,"Que Sera, Sera",Doris Day,00:50:48,00:52:56,128
8,As the World Falls Down,David Bowie,00:54:22,00:59:28,306
9,Love Me Like There’s No Tomorrow,Freddie Mercury,01:01:48,01:05:44,236
10,Why Don't You Do Right?,Peggy Lee,01:07:45,01:10:15,150
11,Let's Save The Earth,Ninja Sex Party,01:14:02,01:17:10,188
12,HOT TO GO!,Chappell Roan,01:18:52,01:22:00,188
13,Skyfall,Adele,01:23:55,01:28:39,284
14,It's All Coming Back to Me Now,Celine Dion,01:31:35,01:39:08,453
15,The winner takes it all,ABBA,01:44:25,01:49:40,315
16,How You Remind Me,Nickelback,01:51:33,01:55:16,223
17,My Happy Ending,Avril Lavigne,01:57:24,02:01:23,239
18,Time Warp,The Rocky Horror Picture Show,02:04:57,02:08:07,190
19,Ghostin,Ariana Grande,02:08:47,02:12:38,231
20,Life on Mars?,David Bowie,02:13:09,02:16:55,226
