TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Turn Me On,Norah Jones,00:06:56,00:09:27,151
2,I Want You Back,NSYNC,00:10:52,00:14:13,201
3,Incomplete,Backstreet Boys,00:15:32,00:19:24,232
4,Ring of Fire,Adam Lambert,00:21:32,00:24:14,162
5,2 Become 1,Spice Girls,00:27:29,00:31:19,230
6,Wake Me Up Before You Go-Go,Wham!,00:33:19,00:37:28,249
7,You Oughta Know,Alanis Morissette,00:38:51,00:43:03,252
8,My Kink Is Karma,Chappell Roan,00:45:30,00:49:11,221
9,Eyesore,Maria Mena,00:51:02,00:54:01,179
10,Cool,Gwen Stefani,00:56:00,00:59:01,181
11,Hikari,Hikaru Utada,01:00:49,01:05:42,293
12,Akai Freesia,Melon Kinenbi,01:09:55,01:13:50,235
13,Cupid,FIFTY FIFTY,01:18:23,01:21:17,174
14,Something,The Beatles,01:23:43,01:26:41,178
15,Grave robbing boys,Kaminari Clara,01:28:11,01:32:06,235
16,Dancing Queen,ABBA,01:34:07,01:37:38,211
17,Chad's dad,Clara Kaminari,01:39:50,01:43:07,197
18,Glimpse of Us,Clara ver,01:44:50,01:48:45,235
19,Loki,Clara Kaminari,01:49:38,01:52:42,184
20,Copacabana,Barry Manilow,01:54:55,01:58:39,224
21,Down to the River to Pray,Clara ver,02:00:30,02:03:25,175
