TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,My All,Mariah Carey,00:06:28,00:10:18,230
2,One Moment in Time,Whitney Houston,00:11:54,00:16:29,275
3,Karma Chameleon,Culture Club,00:18:48,00:22:45,237
4,In Da Club,50 Cent,00:26:02,00:29:12,190
5,Casual,Chappell Roan,00:31:00,00:34:46,226
6,touch tank,quinnie,00:36:23,00:39:27,184
7,I Touch Myself,Divinyls,00:40:33,00:44:24,231
8,Uninvited,Alanis Morissette,00:49:00,00:53:34,274
9,Don't Speak,No Doubt,00:54:11,00:58:50,279
10,I'm Gonna Be (500 Miles),The Proclaimers ( 1:00:15 ),01:01:15,01:04:48,213
11,golden hour,JVKE,01:07:52,01:11:21,209
12,Paper Bag,Fiona Apple,01:12:07,01:15:46,219
13,光 (Hikari),宇多田ヒカル (Hikaru Utada),01:19:50,01:24:49,299
14,My Immortal,Evanescence,01:27:07,01:31:27,260
15,Skyfall,Adele,01:32:52,01:37:35,283
16,Snake Eater,Cynthia Harrell,01:38:40,01:41:34,174
17,Pink Pony Club,Chappell Roan,01:43:12,01:47:36,264
18,Thank You,Dido,01:49:15,01:52:52,217
19,If I Ain't Got You,Alicia Keys,01:54:51,01:58:38,227
20,All By Myself,Céline Dion / Eric Carmen,02:00:48,02:05:37,289
