TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,From This Moment On,Shania Twain,00:15:06,00:18:41,215
2,The First Cut Is the Deepest,Sheryl Crow,00:22:23,00:26:07,224
3,Time After Time,Cyndi Lauper,00:27:57,00:31:51,234
4,Everywhere,Michelle Branch,00:33:13,00:36:45,212
5,Both Sides Now,Joni Mitchell,00:39:06,00:43:20,254
6,How to Save a Life,The Fray,00:44:14,00:48:35,261
7,The Scientist,Coldplay,00:49:33,00:54:18,285
8,Superstar,The Carpenters,00:57:24,01:01:10,226
9,The Way We Were,Barbra Streisand,01:01:52,01:05:18,206
10,"I Love You, I Honestly Love You",Olivia Newton-John,01:07:46,01:11:20,214
11,Kaleidoscope,Chappell Roan,01:15:01,01:18:39,218
12,Thank You,Dido,01:21:36,01:25:10,214
13,B**,Meredith Brooks,01:26:27,01:30:30,243
14,素直にI'm Sorry (Sunao ni I'm Sorry),Checkers,01:31:57,01:36:27,270
15,New York New York,Frank Sinatra,01:36:41,01:40:04,203
16,Me & Mr Jones,Amy Winehouse,01:42:44,01:45:14,150
17,I Touch Myself,Divinyls,01:45:55,01:49:45,230
18,Don't Stop Me Now,Queen,01:50:46,01:54:26,220
19,What's Up,4 Non Blondes,01:56:32,01:59:25,173
