TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,"Check Yes, Juliet",We The Kings,00:18:00,00:21:34,214
2,M,Yui,00:23:55,00:28:19,264
3,I'm a Slave 4 U,Britney Spears,00:30:00,00:33:23,203
4,Maneater,Nelly Furtado,00:35:34,00:40:11,277
5,I Touch Myself,Divinyls,00:42:46,00:46:36,230
6,Baby Got Back,Sir Mix-a-Lot,00:58:53,01:03:15,262
7,I Know,Bust a Groove (Pinky),01:06:08,01:10:01,233
8,Without You,Harry Nilsson/Mariah Carey,01:12:00,01:15:27,207
9,California,Chappell Roan,01:17:59,01:21:22,203
10,Body Better,Maisie Peters,01:22:41,01:25:54,193
11,She Gets the Job Done,Chappell Roan,01:26:28,01:29:57,209
12,"Wow, I Can Get Sexual",Say Anything,01:30:56,01:33:56,180
13,"Nails, Hair, Hips, Heels",Todrick Hall,01:36:03,01:39:56,233
14,F*** Her Gently,Tenacious D,01:41:03,01:43:04,121
15,You're So Vain,Carly Simon,01:45:17,01:49:33,256
16,Haru Haru,BIGBANG,01:58:08,02:02:22,254
17,Lies,BIGBANG,02:02:22,02:06:00,218
18,Dong Saya Dae (start only),Boys Generally Asian,02:07:07,02:07:40,33
19,Konichiwa Bitches,Robyn,02:10:04,02:12:41,157
20,Dirrty,Christina Aguilera and Redman,02:16:07,02:20:03,236
21,My All,Mariah Carey,02:20:10,02:24:03,233
22,Loosen Up My Buttons,Pussycat Dolls,02:25:10,02:28:54,224
23,The Bad Touch,Bloodhound Gang,02:29:53,02:33:35,222
