TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Graverobbin' Boys,Kaminari Clara,00:04:20,00:08:51,271
2,Let's save the earth,NSP,00:11:50,00:15:02,192
3,First date,NSP,00:16:45,00:19:29,164
4,Kickapoo,Tenacious D,00:21:28,00:25:39,251
5,Creep,Radiohead,00:28:38,00:32:26,228
6,ジュリアに傷心 (Julia ni Heartbreak),The Checkers,00:34:49,00:38:45,236
7,아파(It Hurts) (Slow),2NE1,00:42:05,00:46:17,252
8,Misery Business,Paramore,00:48:20,00:51:47,207
9,Bringe me to life,Evanescence,00:54:25,00:58:22,237
10,Every Sperm Is Sacred,Monty Python,00:59:40,01:03:58,258
11,Galaxy Song,Monty Python,01:05:55,01:07:40,105
12,The Moon Song,Karen O,01:10:32,01:12:41,129
13,"Wow, I Can Get Sexual Too",Say Anything,01:15:39,01:18:40,181
14,ルカルカ★ナイトフィーバー (Luka Luka★Night Fever),Megurine Luka,01:21:00,01:24:56,236
15,Love Shack,The B-52's,01:28:58,01:33:15,257
16,The Way I Are,Timbaland,01:35:06,01:38:45,219
17,In Sleep He Sang To Me,Phantom of the opera,01:39:50,01:44:08,258
18,Like A Prayer,Madonna,01:46:16,01:51:02,286
19,Material Girl,Madonna,01:52:16,01:56:06,230
20,Everybody Wants to Rule the World,Tears for Fears,02:00:17,02:04:23,246
