TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Playing Favourites,Kaminari Clara,00:04:53,00:07:58,185
2,The Star-Spangled Banner,Various,00:09:38,00:11:30,112
3,Coffee,Chappell Roan,00:13:01,00:16:19,198
4,I Don't Love You,My Chemical Romance,00:18:02,00:21:58,236
5,U.S.A,Da Pump,00:22:21,00:26:19,238
6,Firework,Katy Perry,00:27:31,00:31:17,226
7,American Pie,Don McLean & Madonna,00:35:32,00:40:00,268
8,F***ed by a Country Boy,"Wheeler Walker, Jr.",00:41:25,00:43:58,153
9,Join Us for a Bite,JT Music,00:44:03,00:47:43,220
10,The Giver,Chappell Roan,00:48:00,00:51:28,208
11,Friday,Rebecca Black,00:54:30,00:57:56,206
12,The Government Knows,Knower,00:59:27,01:03:11,224
13,California,Chappell Roan,01:05:32,01:08:55,203
14,Kaleidoscope,Chappell Roan,01:09:01,01:12:39,218
15,Everytime We Touch,Cascada,01:14:36,01:17:57,201
16,Lilac Wine,Miley Cyrus,01:19:51,01:23:33,222
17,First Date,NSP,01:24:09,01:26:55,166
18,Still Alive,Ellen McLain (GLaDOS),01:27:16,01:30:13,177
19,Cotton Eye Joe,Rednex,01:31:04,01:34:18,194
20,The Natural Playboy,Kaleb James (Bust a Groove),01:35:19,01:39:32,253
