TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Happy Together,The Turtles,00:08:34,00:11:37,183
2,Even If You Don't,Ween,00:14:41,00:17:56,195
3,Too Sweet,Hozier,00:22:14,00:26:22,248
4,Before He Cheats,Carrie Underwood,00:28:44,00:32:01,197
5,My Shiny Teeth and Me,Chip Skylark (Chris Kirkpatrick),00:32:42,00:34:42,120
6,Please Please Please,Sabrina Carpenter,00:36:48,00:39:50,182
7,Smooth,Rob Thomas and Santana,00:43:45,00:47:40,235
8,Maybe,Emma Bunton,00:51:06,00:54:46,220
9,Snake Eater,Cynthia Harrell,00:57:24,01:00:17,173
10,That Don’t Impress Me Much,Shania Twain,01:01:10,01:04:49,219
11,La vie en rose,Édith Piaf,01:05:52,01:09:04,192
12,"Good Luck, Babe!",Chappell Roan,01:11:10,01:14:43,213
13,Die With A Smile,Bruno Mars and Lady Gaga,01:18:30,01:22:37,247
