TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,99 Luftballons,Nena,00:05:45,00:09:34,229
2,Perfect,Simple plan,00:11:36,00:16:13,277
3,The Emptiness Machine,Linkin Park,00:17:03,00:20:15,192
4,Boulevard of Broken Dreams,Green Day,00:24:25,00:28:47,262
5,Jack's Lament,Danny Elfman (The nightmare before christmas),00:30:58,00:34:11,193
6,The reason,Hoobastank,00:36:22,00:40:13,231
7,Mr. Brightside,The Killers,00:41:46,00:45:29,223
8,Zombie,The Cranberries,00:47:48,00:52:02,254
9,Chop Suey!,System of a Down,00:54:05,00:57:34,209
10,Feel Good Inc,Gorillaz,01:01:18,01:05:02,224
11,Mary On A Cross,Ghost,01:06:49,01:10:52,243
12,Honesty,Billy Joel,01:11:50,01:15:40,230
13,Blood,My Chemical Romance,01:17:53,01:20:35,162
14,Wake Me Up When September Ends,Green Day,01:22:25,01:26:50,265
15,I Write Sins Not Tragedies,Panic! At The Disco,01:29:51,01:32:55,184
16,All The Small Things,Blink-182,01:34:21,01:37:08,167
17,Just the Girl,Click Five,01:40:53,01:44:45,232
18,Helena,my chemical romance,01:46:48,01:50:17,209
19,Oogie Boogie's Song,(The nightmare before christmas),01:52:47,01:56:01,194
20,Black Sheep,Metric (Scott Pilgrim vs. the World),01:58:43,02:02:07,204
21,Bring Me To Life,Evanescence (Daredevil),02:04:44,02:08:45,241
22,Eyesore,Maria Mena,02:11:18,02:14:28,190
23,creep,Radiohead,02:15:49,02:19:45,236
24,Snuff Out the Light,Eartha Kitt,02:20:46,02:24:23,217
25,Glimpse of Us,Joji,02:25:24,02:29:20,236
26,Picture You,Chappell Roan,02:30:47,02:33:49,182
