TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,ファンサ,mona,00:01:59,00:05:46,227
2,APT.,ROSÉ & Bruno Mars,00:08:29,00:11:16,167
3,The Subway,Chappell Roan,00:12:06,00:16:13,247
4,The Giver,Chappell Roan,00:17:50,00:21:20,210
5,It's All Coming Back To Me Now,Celine Dion,00:23:12,00:30:47,455
6,Can't Take My Eyes off You,The Four Seasons,00:34:20,00:37:43,203
7,Kaleidoscope,Chappell Roan,00:41:02,00:44:43,221
8,Espresso,Sabrina Carpenter,00:48:49,00:51:43,174
9,Dream A little Dream Of Me,The Mamas & the Papas,00:53:02,00:56:35,213
10,Stand by Me,Ben E. King,00:57:52,01:00:17,145
11,Be My Baby,The Ronettes,01:01:39,01:04:27,168
12,I try,Macy Gray,01:05:21,01:09:09,228
13,Wouldn't It Be Nice,The Beach Boys,01:11:26,01:13:50,144
14,Not Fair,Lily Allen,01:15:50,01:19:10,200
15,Littlest Things,Lily Allen,01:20:02,01:23:03,181
16,Me & Mr Jones,Amy Winehouse,01:23:11,01:25:43,152
