TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,We've Only Just Begun,Carpenters,00:05:36,00:08:38,182
2,Thinking Of You,Katy Perry,00:10:33,00:14:44,251
3,First Love,宇多田ヒカル (Hikaru Utada),00:17:11,00:21:26,255
4,The Government Knows,KNOWER,00:25:54,00:29:38,224
5,Pippa The Ripper,Pipkin Pippa,00:33:11,00:36:30,199
6,U.S.A.,DA PUMP,00:38:46,00:42:43,237
7,Tears,X JAPAN,00:44:46,00:51:21,395
8,The Ultimate Showdown of Ultimate Destiny,Lemon Demon,00:53:25,00:57:01,216
9,Chad's dad,(Stacy's Mom / Fountains Of Wayne) (Stacy's Dad / Sub-Radio),01:00:33,01:03:50,197
10,Snuff Out the Light,Eartha Kitt,01:06:23,01:09:57,214
11,Poor Unfortunate Souls,Pat Carroll,01:11:52,01:15:37,225
12,Mother Knows Best,Donna Murphy,01:16:52,01:20:01,189
13,So Hot,Wonder Girls,01:21:41,01:24:42,181
14,學貓叫 (Learn to Meow),"小潘潘 (Xiao Pan Pan) , 小峰峰 (Xiao Feng Feng | Cheney.F)",01:26:02,01:29:29,207
15,童話 (Tong Hua | Fairy Tale),光良 (Michael Wong),01:30:21,01:34:25,244
16,Dragostea Din Tei,O-ZONE,01:37:34,01:41:09,215
17,Get Along Together,山根康広 (Yasuhiro Yamane),01:43:44,01:48:37,293
18,Think of Me,Andrew Lloyd Webber - The Phantom of the Opera,01:50:26,01:53:57,211
19,I Won't Last A Day Without You,Carpenters,01:57:59,02:01:44,225
20,The Rainbow Connection,Carpenters,02:04:31,02:08:21,230
21,I'm Yours,Jason Mraz,02:10:39,02:14:41,242
22,Tears Dry On Their Own,Amy Winehouse,02:15:45,02:18:52,187
23,Bing Bang (Time To Dance),LazyTown,02:19:15,02:22:30,195
